timestamp,message,logStreamName
1698139446641,> orm-service@0.7.18 start,wp/lambdaorm/9d2596b4241648be82b4b2c8408ae890
1698139446641,> node index.js,wp/lambdaorm/9d2596b4241648be82b4b2c8408ae890
1698139448251,2023-10-24T09:24:08.249Z ERROR: Schema: /workspace not supported,wp/lambdaorm/9d2596b4241648be82b4b2c8408ae890
1698139448432,node:events:495,wp/lambdaorm/9d2596b4241648be82b4b2c8408ae890
1698139448432,      throw er; // Unhandled 'error' event,wp/lambdaorm/9d2596b4241648be82b4b2c8408ae890
1698139448432,      ^,wp/lambdaorm/9d2596b4241648be82b4b2c8408ae890
1698139448432,Error: listen EACCES: permission denied 0.0.0.0:80,wp/lambdaorm/9d2596b4241648be82b4b2c8408ae890
1698139448432,    at Server.setupListenHandle [as _listen2] (node:net:1800:21),wp/lambdaorm/9d2596b4241648be82b4b2c8408ae890
1698139448432,    at listenInCluster (node:net:1865:12),wp/lambdaorm/9d2596b4241648be82b4b2c8408ae890
1698139448432,    at Server.listen (node:net:1953:7),wp/lambdaorm/9d2596b4241648be82b4b2c8408ae890
1698139448432,    at Server.<anonymous> (/usr/src/app/infrastructure/server.js:73:65),wp/lambdaorm/9d2596b4241648be82b4b2c8408ae890
1698139448432,    at Generator.next (<anonymous>),wp/lambdaorm/9d2596b4241648be82b4b2c8408ae890
1698139448432,    at fulfilled (/usr/src/app/infrastructure/server.js:5:58),wp/lambdaorm/9d2596b4241648be82b4b2c8408ae890
1698139448432,Emitted 'error' event on Server instance at:,wp/lambdaorm/9d2596b4241648be82b4b2c8408ae890
1698139448432,    at emitErrorNT (node:net:1844:8),wp/lambdaorm/9d2596b4241648be82b4b2c8408ae890
1698139448432,    at process.processTicksAndRejections (node:internal/process/task_queues:82:21) {,wp/lambdaorm/9d2596b4241648be82b4b2c8408ae890
1698139448432,"  code: 'EACCES',",wp/lambdaorm/9d2596b4241648be82b4b2c8408ae890
1698139448432,"  errno: -13,",wp/lambdaorm/9d2596b4241648be82b4b2c8408ae890
1698139448432,"  syscall: 'listen',",wp/lambdaorm/9d2596b4241648be82b4b2c8408ae890
1698139448432,"  address: '0.0.0.0',",wp/lambdaorm/9d2596b4241648be82b4b2c8408ae890
1698139448432,  port: 80,wp/lambdaorm/9d2596b4241648be82b4b2c8408ae890
1698139448432,},wp/lambdaorm/9d2596b4241648be82b4b2c8408ae890
1698139448432,Node.js v18.18.2,wp/lambdaorm/9d2596b4241648be82b4b2c8408ae890
1698139448451,npm notice ,wp/lambdaorm/9d2596b4241648be82b4b2c8408ae890
1698139448451,npm notice New major version of npm available! 9.8.1 -> 10.2.1,wp/lambdaorm/9d2596b4241648be82b4b2c8408ae890
1698139448451,npm notice Changelog: <https://github.com/npm/cli/releases/tag/v10.2.1>,wp/lambdaorm/9d2596b4241648be82b4b2c8408ae890
1698139448452,npm notice Run `npm install -g npm@10.2.1` to update!,wp/lambdaorm/9d2596b4241648be82b4b2c8408ae890
1698139448452,npm notice ,wp/lambdaorm/9d2596b4241648be82b4b2c8408ae890
1698139511699,> orm-service@0.7.18 start,wp/lambdaorm/322ffc8e516f44ee9c1e5ad11e96c121
1698139511699,> node index.js,wp/lambdaorm/322ffc8e516f44ee9c1e5ad11e96c121
1698139513521,2023-10-24T09:25:13.520Z ERROR: Schema: /workspace not supported,wp/lambdaorm/322ffc8e516f44ee9c1e5ad11e96c121
1698139513667,node:events:495,wp/lambdaorm/322ffc8e516f44ee9c1e5ad11e96c121
1698139513667,      throw er; // Unhandled 'error' event,wp/lambdaorm/322ffc8e516f44ee9c1e5ad11e96c121
1698139513667,      ^,wp/lambdaorm/322ffc8e516f44ee9c1e5ad11e96c121
1698139513667,Error: listen EACCES: permission denied 0.0.0.0:80,wp/lambdaorm/322ffc8e516f44ee9c1e5ad11e96c121
1698139513667,    at Server.setupListenHandle [as _listen2] (node:net:1800:21),wp/lambdaorm/322ffc8e516f44ee9c1e5ad11e96c121
1698139513667,    at listenInCluster (node:net:1865:12),wp/lambdaorm/322ffc8e516f44ee9c1e5ad11e96c121
1698139513667,    at Server.listen (node:net:1953:7),wp/lambdaorm/322ffc8e516f44ee9c1e5ad11e96c121
1698139513667,    at Server.<anonymous> (/usr/src/app/infrastructure/server.js:73:65),wp/lambdaorm/322ffc8e516f44ee9c1e5ad11e96c121
1698139513667,    at Generator.next (<anonymous>),wp/lambdaorm/322ffc8e516f44ee9c1e5ad11e96c121
1698139513667,    at fulfilled (/usr/src/app/infrastructure/server.js:5:58),wp/lambdaorm/322ffc8e516f44ee9c1e5ad11e96c121
1698139513667,Emitted 'error' event on Server instance at:,wp/lambdaorm/322ffc8e516f44ee9c1e5ad11e96c121
1698139513667,    at emitErrorNT (node:net:1844:8),wp/lambdaorm/322ffc8e516f44ee9c1e5ad11e96c121
1698139513667,    at process.processTicksAndRejections (node:internal/process/task_queues:82:21) {,wp/lambdaorm/322ffc8e516f44ee9c1e5ad11e96c121
1698139513667,"  code: 'EACCES',",wp/lambdaorm/322ffc8e516f44ee9c1e5ad11e96c121
1698139513667,"  errno: -13,",wp/lambdaorm/322ffc8e516f44ee9c1e5ad11e96c121
1698139513667,"  syscall: 'listen',",wp/lambdaorm/322ffc8e516f44ee9c1e5ad11e96c121
1698139513667,"  address: '0.0.0.0',",wp/lambdaorm/322ffc8e516f44ee9c1e5ad11e96c121
1698139513667,  port: 80,wp/lambdaorm/322ffc8e516f44ee9c1e5ad11e96c121
1698139513667,},wp/lambdaorm/322ffc8e516f44ee9c1e5ad11e96c121
1698139513667,Node.js v18.18.2,wp/lambdaorm/322ffc8e516f44ee9c1e5ad11e96c121
1698139513674,npm notice ,wp/lambdaorm/322ffc8e516f44ee9c1e5ad11e96c121
